Cycles	Run	Rn
442	2	cdh7a*A12_scr2_2	1.7053
443	3	cdh7a*A12_scr2_2	1.7019
444	4	cdh7a*A12_scr2_2	1.6966
445	5	cdh7a*A12_scr2_2	1.6922
446	6	cdh7a*A12_scr2_2	1.69
447	7	cdh7a*A12_scr2_2	1.6861
448	8	cdh7a*A12_scr2_2	1.656
449	9	cdh7a*A12_scr2_2	1.6534
450	10	cdh7a*A12_scr2_2	1.6496
451	11	cdh7a*A12_scr2_2	1.647
452	12	cdh7a*A12_scr2_2	1.6462
453	13	cdh7a*A12_scr2_2	1.647
454	14	cdh7a*A12_scr2_2	1.6458
455	15	cdh7a*A12_scr2_2	1.6454
456	16	cdh7a*A12_scr2_2	1.6453
457	17	cdh7a*A12_scr2_2	1.6444
458	18	cdh7a*A12_scr2_2	1.6445
459	19	cdh7a*A12_scr2_2	1.6455
460	20	cdh7a*A12_scr2_2	1.645
461	21	cdh7a*A12_scr2_2	1.6446
462	22	cdh7a*A12_scr2_2	1.6454
463	23	cdh7a*A12_scr2_2	1.6459
464	24	cdh7a*A12_scr2_2	1.6469
465	25	cdh7a*A12_scr2_2	1.6455
466	26	cdh7a*A12_scr2_2	1.6468
467	27	cdh7a*A12_scr2_2	1.6496
468	28	cdh7a*A12_scr2_2	1.6491
469	29	cdh7a*A12_scr2_2	1.6536
470	30	cdh7a*A12_scr2_2	1.6631
471	31	cdh7a*A12_scr2_2	1.6791
472	32	cdh7a*A12_scr2_2	1.7131
473	33	cdh7a*A12_scr2_2	1.7791
474	34	cdh7a*A12_scr2_2	1.9106
475	35	cdh7a*A12_scr2_2	2.1429
476	36	cdh7a*A12_scr2_2	2.4942
477	37	cdh7a*A12_scr2_2	2.9272
478	38	cdh7a*A12_scr2_2	3.3761
479	39	cdh7a*A12_scr2_2	3.8026
480	40	cdh7a*A12_scr2_2	4.1673
