Cycles	Run	Rn
404	4	gapdh*A11_cdh2_2	1.0043
405	5	gapdh*A11_cdh2_2	1.0029
406	6	gapdh*A11_cdh2_2	1.0005
407	7	gapdh*A11_cdh2_2	1
408	8	gapdh*A11_cdh2_2	0.9983
409	9	gapdh*A11_cdh2_2	0.9934
410	10	gapdh*A11_cdh2_2	0.9964
411	11	gapdh*A11_cdh2_2	0.9905
412	12	gapdh*A11_cdh2_2	0.9909
413	13	gapdh*A11_cdh2_2	0.989
414	14	gapdh*A11_cdh2_2	0.9853
415	15	gapdh*A11_cdh2_2	0.9854
416	16	gapdh*A11_cdh2_2	0.9824
417	17	gapdh*A11_cdh2_2	0.9826
418	18	gapdh*A11_cdh2_2	0.9819
419	19	gapdh*A11_cdh2_2	0.9819
420	20	gapdh*A11_cdh2_2	0.9803
421	21	gapdh*A11_cdh2_2	0.9792
422	22	gapdh*A11_cdh2_2	0.9781
423	23	gapdh*A11_cdh2_2	0.9775
424	24	gapdh*A11_cdh2_2	0.9786
425	25	gapdh*A11_cdh2_2	0.9768
426	26	gapdh*A11_cdh2_2	0.9742
427	27	gapdh*A11_cdh2_2	0.9778
428	28	gapdh*A11_cdh2_2	0.9749
429	29	gapdh*A11_cdh2_2	0.9787
430	30	gapdh*A11_cdh2_2	0.9771
431	31	gapdh*A11_cdh2_2	0.9775
432	32	gapdh*A11_cdh2_2	0.9778
433	33	gapdh*A11_cdh2_2	0.9826
434	34	gapdh*A11_cdh2_2	0.9975
435	35	gapdh*A11_cdh2_2	1.0161
436	36	gapdh*A11_cdh2_2	1.0588
437	37	gapdh*A11_cdh2_2	1.1391
438	38	gapdh*A11_cdh2_2	1.2785
439	39	gapdh*A11_cdh2_2	1.4852
440	40	gapdh*A11_cdh2_2	1.7404
441	1	gapdh*A12_cdh2_2	0.9716
442	2	gapdh*A12_cdh2_2	0.9671
443	3	gapdh*A12_cdh2_2	0.9653
444	4	gapdh*A12_cdh2_2	0.9865
445	5	gapdh*A12_cdh2_2	0.986
446	6	gapdh*A12_cdh2_2	0.9846
447	7	gapdh*A12_cdh2_2	0.9845
448	8	gapdh*A12_cdh2_2	0.9839
449	9	gapdh*A12_cdh2_2	0.9826
450	10	gapdh*A12_cdh2_2	0.9815
451	11	gapdh*A12_cdh2_2	0.9803
452	12	gapdh*A12_cdh2_2	0.9806
453	13	gapdh*A12_cdh2_2	0.9799
454	14	gapdh*A12_cdh2_2	0.9794
455	15	gapdh*A12_cdh2_2	0.9783
456	16	gapdh*A12_cdh2_2	0.9784
457	17	gapdh*A12_cdh2_2	0.9769
458	18	gapdh*A12_cdh2_2	0.9771
459	19	gapdh*A12_cdh2_2	0.9764
460	20	gapdh*A12_cdh2_2	0.9757
461	21	gapdh*A12_cdh2_2	0.9749
462	22	gapdh*A12_cdh2_2	0.9753
463	23	gapdh*A12_cdh2_2	0.9749
464	24	gapdh*A12_cdh2_2	0.9762
465	25	gapdh*A12_cdh2_2	0.9754
466	26	gapdh*A12_cdh2_2	0.9753
467	27	gapdh*A12_cdh2_2	0.9754
468	28	gapdh*A12_cdh2_2	0.9753
469	29	gapdh*A12_cdh2_2	0.9758
470	30	gapdh*A12_cdh2_2	0.9755
471	31	gapdh*A12_cdh2_2	0.9764
472	32	gapdh*A12_cdh2_2	0.9788
473	33	gapdh*A12_cdh2_2	0.9835
474	34	gapdh*A12_cdh2_2	0.9915
475	35	gapdh*A12_cdh2_2	1.0071
476	36	gapdh*A12_cdh2_2	1.0365
477	37	gapdh*A12_cdh2_2	1.0941
478	38	gapdh*A12_cdh2_2	1.2035
479	39	gapdh*A12_cdh2_2	1.3776
480	40	gapdh*A12_cdh2_2	1.6088
481	1	gapdh*B1_scr1_1	1.0734
482	2	gapdh*B1_scr1_1	1.0725
483	3	gapdh*B1_scr1_1	1.0755
484	4	gapdh*B1_scr1_1	1.0772
485	5	gapdh*B1_scr1_1	1.0804
486	6	gapdh*B1_scr1_1	1.0791
487	7	gapdh*B1_scr1_1	1.0808
488	8	gapdh*B1_scr1_1	1.08
489	9	gapdh*B1_scr1_1	1.0801
490	10	gapdh*B1_scr1_1	1.0801
491	11	gapdh*B1_scr1_1	1.0787
492	12	gapdh*B1_scr1_1	1.0774
493	13	gapdh*B1_scr1_1	1.0792
494	14	gapdh*B1_scr1_1	1.0777
495	15	gapdh*B1_scr1_1	1.0784
496	16	gapdh*B1_scr1_1	1.0777
497	17	gapdh*B1_scr1_1	1.0778
498	18	gapdh*B1_scr1_1	1.0765
499	19	gapdh*B1_scr1_1	1.0759
500	20	gapdh*B1_scr1_1	1.076
501	21	gapdh*B1_scr1_1	1.0763
502	22	gapdh*B1_scr1_1	1.0776
503	23	gapdh*B1_scr1_1	1.0766
504	24	gapdh*B1_scr1_1	1.0779
505	25	gapdh*B1_scr1_1	1.0773
506	26	gapdh*B1_scr1_1	1.079
507	27	gapdh*B1_scr1_1	1.0785
508	28	gapdh*B1_scr1_1	1.0807
509	29	gapdh*B1_scr1_1	1.084
510	30	gapdh*B1_scr1_1	1.0884
511	31	gapdh*B1_scr1_1	1.1006
512	32	gapdh*B1_scr1_1	1.1216
513	33	gapdh*B1_scr1_1	1.1652
514	34	gapdh*B1_scr1_1	1.2461
515	35	gapdh*B1_scr1_1	1.3814
516	36	gapdh*B1_scr1_1	1.5841
517	37	gapdh*B1_scr1_1	1.8381
518	38	gapdh*B1_scr1_1	2.1231
519	39	gapdh*B1_scr1_1	2.4222
520	40	gapdh*B1_scr1_1	2.7058
521	1	gapdh*B2_scr1_1	1.1039
522	2	gapdh*B2_scr1_1	1.106
523	3	gapdh*B2_scr1_1	1.1081
524	4	gapdh*B2_scr1_1	1.1122
525	5	gapdh*B2_scr1_1	1.1129
526	6	gapdh*B2_scr1_1	1.1127
527	7	gapdh*B2_scr1_1	1.1131
528	8	gapdh*B2_scr1_1	1.1132
529	9	gapdh*B2_scr1_1	1.1135
530	10	gapdh*B2_scr1_1	1.1129
531	11	gapdh*B2_scr1_1	1.1133
532	12	gapdh*B2_scr1_1	1.1132
533	13	gapdh*B2_scr1_1	1.1143
534	14	gapdh*B2_scr1_1	1.1141
535	15	gapdh*B2_scr1_1	1.1158
536	16	gapdh*B2_scr1_1	1.1141
537	17	gapdh*B2_scr1_1	1.1139
538	18	gapdh*B2_scr1_1	1.1133
539	19	gapdh*B2_scr1_1	1.1119
540	20	gapdh*B2_scr1_1	1.1122
541	21	gapdh*B2_scr1_1	1.1114
542	22	gapdh*B2_scr1_1	1.1109
543	23	gapdh*B2_scr1_1	1.1103
544	24	gapdh*B2_scr1_1	1.1112
545	25	gapdh*B2_scr1_1	1.111
546	26	gapdh*B2_scr1_1	1.1113
547	27	gapdh*B2_scr1_1	1.111
548	28	gapdh*B2_scr1_1	1.1125
549	29	gapdh*B2_scr1_1	1.1145
550	30	gapdh*B2_scr1_1	1.1192
551	31	gapdh*B2_scr1_1	1.1276
552	32	gapdh*B2_scr1_1	1.1429
553	33	gapdh*B2_scr1_1	1.1753
554	34	gapdh*B2_scr1_1	1.2344
555	35	gapdh*B2_scr1_1	1.3443
556	36	gapdh*B2_scr1_1	1.5184
557	37	gapdh*B2_scr1_1	1.7551
558	38	gapdh*B2_scr1_1	2.0332
559	39	gapdh*B2_scr1_1	2.3368
560	40	gapdh*B2_scr1_1	2.6285
561	1	gapdh*B3_scr1_1	1.0894
562	2	gapdh*B3_scr1_1	1.0915
563	3	gapdh*B3_scr1_1	1.0931
564	4	gapdh*B3_scr1_1	1.0935
565	5	gapdh*B3_scr1_1	1.0953
566	6	gapdh*B3_scr1_1	1.0932
567	7	gapdh*B3_scr1_1	1.096
568	8	gapdh*B3_scr1_1	1.0968
569	9	gapdh*B3_scr1_1	1.0956
570	10	gapdh*B3_scr1_1	1.0967
571	11	gapdh*B3_scr1_1	1.0972
572	12	gapdh*B3_scr1_1	1.0964
573	13	gapdh*B3_scr1_1	1.0974
574	14	gapdh*B3_scr1_1	1.0956
575	15	gapdh*B3_scr1_1	1.0955
576	16	gapdh*B3_scr1_1	1.0963
577	17	gapdh*B3_scr1_1	1.0951
578	18	gapdh*B3_scr1_1	1.0968
579	19	gapdh*B3_scr1_1	1.0941
580	20	gapdh*B3_scr1_1	1.0952
581	21	gapdh*B3_scr1_1	1.0931
582	22	gapdh*B3_scr1_1	1.0936
583	23	gapdh*B3_scr1_1	1.0945
584	24	gapdh*B3_scr1_1	1.0927
585	25	gapdh*B3_scr1_1	1.0916
586	26	gapdh*B3_scr1_1	1.0941
587	27	gapdh*B3_scr1_1	1.0961
