Cycles	Run	Rn
1453	13	gapdh*D1_pdg1-1	0.9684
1454	14	gapdh*D1_pdg1-1	0.9674
1455	15	gapdh*D1_pdg1-1	0.9665
1456	16	gapdh*D1_pdg1-1	0.9665
1457	17	gapdh*D1_pdg1-1	0.967
1458	18	gapdh*D1_pdg1-1	0.9685
1459	19	gapdh*D1_pdg1-1	0.9677
1460	20	gapdh*D1_pdg1-1	0.9678
1461	21	gapdh*D1_pdg1-1	0.9677
1462	22	gapdh*D1_pdg1-1	0.9675
1463	23	gapdh*D1_pdg1-1	0.9684
1464	24	gapdh*D1_pdg1-1	0.9679
1465	25	gapdh*D1_pdg1-1	0.967
1466	26	gapdh*D1_pdg1-1	0.968
1467	27	gapdh*D1_pdg1-1	0.9704
1468	28	gapdh*D1_pdg1-1	0.9735
1469	29	gapdh*D1_pdg1-1	0.9796
1470	30	gapdh*D1_pdg1-1	0.9901
1471	31	gapdh*D1_pdg1-1	1.0106
1472	32	gapdh*D1_pdg1-1	1.0494
1473	33	gapdh*D1_pdg1-1	1.1208
1474	34	gapdh*D1_pdg1-1	1.2489
1475	35	gapdh*D1_pdg1-1	1.428
1476	36	gapdh*D1_pdg1-1	1.6606
1477	37	gapdh*D1_pdg1-1	1.9148
1478	38	gapdh*D1_pdg1-1	2.1781
1479	39	gapdh*D1_pdg1-1	2.4326
1480	40	gapdh*D1_pdg1-1	2.6835
1481	1	gapdh*D2_pdg1-1	1.0659
1482	2	gapdh*D2_pdg1-1	1.0567
1483	3	gapdh*D2_pdg1-1	1.0512
1484	4	gapdh*D2_pdg1-1	1.0455
1485	5	gapdh*D2_pdg1-1	1.0423
1486	6	gapdh*D2_pdg1-1	1.0395
1487	7	gapdh*D2_pdg1-1	1.0385
1488	8	gapdh*D2_pdg1-1	1.0387
1489	9	gapdh*D2_pdg1-1	1.0365
1490	10	gapdh*D2_pdg1-1	1.0376
1491	11	gapdh*D2_pdg1-1	1.0373
1492	12	gapdh*D2_pdg1-1	1.0364
1493	13	gapdh*D2_pdg1-1	1.0365
1494	14	gapdh*D2_pdg1-1	1.0376
1495	15	gapdh*D2_pdg1-1	1.0368
1496	16	gapdh*D2_pdg1-1	1.0363
1497	17	gapdh*D2_pdg1-1	1.0376
1498	18	gapdh*D2_pdg1-1	1.0367
1499	19	gapdh*D2_pdg1-1	1.0383
1500	20	gapdh*D2_pdg1-1	1.0377
1501	21	gapdh*D2_pdg1-1	1.038
1502	22	gapdh*D2_pdg1-1	1.0397
1503	23	gapdh*D2_pdg1-1	1.0397
1504	24	gapdh*D2_pdg1-1	1.0411
1505	25	gapdh*D2_pdg1-1	1.0408
1506	26	gapdh*D2_pdg1-1	1.0413
1507	27	gapdh*D2_pdg1-1	1.0438
1508	28	gapdh*D2_pdg1-1	1.0466
1509	29	gapdh*D2_pdg1-1	1.0528
1510	30	gapdh*D2_pdg1-1	1.0641
1511	31	gapdh*D2_pdg1-1	1.0846
1512	32	gapdh*D2_pdg1-1	1.124
1513	33	gapdh*D2_pdg1-1	1.1958
1514	34	gapdh*D2_pdg1-1	1.3258
1515	35	gapdh*D2_pdg1-1	1.5136
1516	36	gapdh*D2_pdg1-1	1.761
1517	37	gapdh*D2_pdg1-1	2.0381
1518	38	gapdh*D2_pdg1-1	2.3263
1519	39	gapdh*D2_pdg1-1	2.6077
1520	40	gapdh*D2_pdg1-1	2.8831
1521	1	gapdh*D3_pdg1-1	0.8688
1522	2	gapdh*D3_pdg1-1	0.8746
1523	3	gapdh*D3_pdg1-1	0.8776
1524	4	gapdh*D3_pdg1-1	0.8793
1525	5	gapdh*D3_pdg1-1	0.8809
1526	6	gapdh*D3_pdg1-1	0.8822
1527	7	gapdh*D3_pdg1-1	0.8832
1528	8	gapdh*D3_pdg1-1	0.8849
1529	9	gapdh*D3_pdg1-1	0.8861
